idx	pattern	score	reasons
0187	skssskss	7	backbeat-s;asym
0186	sksssksk	7	backbeat-s;asym
0185	skssskks	7	backbeat-s;asym
0184	skssskkk	7	backbeat-s;asym
0183	skssksss	7	backbeat-s;asym
0182	sksskssk	7	backbeat-s;asym
0181	skssksks	7	backbeat-s;asym
0180	sksskskk	7	backbeat-s;asym
0179	sksskkss	7	backbeat-s;asym
0178	sksskksk	7	backbeat-s;asym
0177	sksskkks	7	backbeat-s;asym
0176	sksskkkk	7	backbeat-s;asym
0175	skskssss	7	backbeat-s;asym
0174	sksksssk	7	backbeat-s;asym
0171	skskskss	7	backbeat-s;asym
0170	sksksksk	7	backbeat-s;asym
0164	skskkskk	7	asym;tresillo-ish
0161	skskkkks	7	asym;tresillo-ish
0159	skksssss	7	backbeat-s;asym
0158	skkssssk	7	backbeat-s;asym
0157	skksssks	7	backbeat-s;asym
0156	skkssskk	7	backbeat-s;asym
0155	skksskss	7	backbeat-s;asym
0154	skkssksk	7	backbeat-s;asym
0152	skksskkk	7	backbeat-s;asym
0151	skksksss	7	backbeat-s;asym
0150	skkskssk	7	backbeat-s;asym
0149	skksksks	7	backbeat-s;asym
0148	skkskskk	7	backbeat-s;asym
0147	skkskkss	7	backbeat-s;asym
0146	skkskksk	7	backbeat-s;asym
0145	skkskkks	7	backbeat-s;asym
0143	skkkssss	7	backbeat-s;asym
0142	skkksssk	7	backbeat-s;asym
0139	skkkskss	7	backbeat-s;asym
0138	skkksksk	7	backbeat-s;asym
0133	skkkksks	7	asym;tresillo-ish
0066	kskkkksk	7	downbeat-k;tresillo-ish
0036	kkskkskk	7	downbeat-k;tresillo-ish
0254	sssssssk	6	backbeat-s;asym
0253	ssssssks	6	backbeat-s;asym
0251	ssssskss	6	backbeat-s;asym
0247	ssssksss	6	backbeat-s;asym
0239	ssskssss	6	backbeat-s;asym
0223	ssksssss	6	backbeat-s;asym
0219	ssksskss	6	backbeat-s
0192	sskkkkkk	6	asym;tresillo-ish
0191	skssssss	6	backbeat-s;asym
0189	skssssks	6	backbeat-s
0165	skskksks	6	tresillo-ish
0160	skskkkkk	6	asym;tresillo-ish
0153	skksskks	6	backbeat-s
0144	skkskkkk	6	backbeat-s;asym
0132	skkkkskk	6	asym;tresillo-ish
0128	skkkkkkk	6	asym;tresillo-ish
0230	ssskkssk	5	asym
0227	ssskkkss	5	asym
0226	ssskkksk	5	asym
0199	sskkksss	5	asym
0198	sskkkssk	5	asym
0194	sskkkksk	5	asym
0167	skskksss	5	asym
0166	skskkssk	5	asym
0163	skskkkss	5	asym
0162	skskkksk	5	asym
0135	skkkksss	5	asym
0134	skkkkssk	5	asym
0131	skkkkkss	5	asym
0129	skkkkkks	5	tresillo-ish
0000	kkkkkkkk	5	downbeat-k;tresillo-ish
0231	ssskksss	4	
0195	sskkkkss	4	
0130	skkkkksk	4	asym
0255	ssssssss	3	backbeat-s
